Company,Ticker,Exchange,Yahoo,Closing Price
Altair Engineering Inc,ALTR,NASDAQ,True,74.19
Altair Nanotechnologies Inc.,ALTID,NASDAQ,False,
Altamira Therapeutics Ltd,CYTO,NASDAQ,True,0.74
AltC Acquisition Corp,ALCC,NYSE,True,10.55
AltEnergy Acquisition Corporation,AEAE,NASDAQ,True,10.32
AltEnergy Acquisition Corporation,AEAEU,NASDAQ,True,10.25
Alterity Therapeutics Limited,ATHE,NASDAQ,True,2.89
Alterra Capital Holdings Limited,ALTE,NASDAQ,False,
Alteryx Inc,AYX,NYSE,True,39.53
Alteva,WWVY,NASDAQ,False,
Altice USA Inc,ATUS,NYSE,True,2.76
Altimar Acquisition Corp II,ATMR,NYSE,False,
Altimar Acquisition Corp III,ATAQ,NYSE,True,10.22
Altimar Acquisition Corporation,ATAC,NYSE,False,
Altimeter Growth Corp 2,AGCB,NYSE,False,
Altimeter Growth Corporation,AGC,NASDAQ,False,
Altimmune Inc,ALT,NASDAQ,True,4.09
Altisource Asset Management Corporation,AAMC,AMEX,True,92.1
Altisource Portfolio Solutions S.A.,ASPSV,NASDAQ,False,
Altisource Portfolio Solutions SA,ASPS,NASDAQ,True,5.18
Altitude Acquisition Corporation,ALTU,NASDAQ,True,10.08
Alto Ingredients Inc,ALTO,NASDAQ,True,2.45
Alto Ingredients Inc,PEIX,NASDAQ,False,
Altra Industrial Motion Corporation,AIMC,NASDAQ,False,
Altria Group Inc,MO,NYSE,True,45.36
Altria Group Inc,MO,NYSE,True,45.36
Altus Midstream Company,ALTM,NASDAQ,False,
Altus Power Inc,AMPS,NYSE,True,5.25
Aluminum Corporation of China Ltd,ACH,NYSE,False,
Alussa Energy Acquisition Corp,ALUS,NYSE,False,
Alussa Energy Acquisition Corp.,ALUSU,NYSE,False,
ALX Oncology Holdings Inc,ALXO,NASDAQ,True,7.94
Alzamend Neuro Inc,ALZN,NASDAQ,True,0.7168
Alzheon,ALZH,NASDAQ,False,
AMAG Pharmaceuticals Inc,AMAG,NASDAQ,False,
Amalgamated Financial Corporation,AMAL,NASDAQ,True,16.7
A-Max Tech Ltd Adr,AMAX,NASDAQ,True,7.8542
Amazon com,AMZN,NASDAQ,True,124.25
Ambac Financial Group Inc,AMBC,NASDAQ,True,14.04
Ambac Financial Group Inc,AMBC,NYSE,True,14.04
Ambarella Inc,AMBA,NASDAQ,True,82.65
Ambassadors International,AMIE,NASDAQ,False,
Ambassadors International,AMIED,NASDAQ,False,
Ambev SA,ABEV,NYSE,True,3.0
Ambev SA,ABEV,NYSE,True,3.0
Ambrx Biopharma Inc,AMAM,NYSE,True,14.41
AMC Entertainment Holdings Inc,AMC,NYSE,True,4.68
AMC Entertainment Holdings Inc,AMC,NYSE,True,4.68
AMC Networks Inc,AMCX,NASDAQ,True,12.425
Amc Networks Inc.,AMCXV,NASDAQ,False,
AMCI Acquisition Corporation II,AMCI,NASDAQ,False,
AMCI Acquisition Corporation II,AMCIU,NASDAQ,False,
Amcomp Incorporated,AMCP,NASDAQ,False,
AMCON Distributing Co,DIT,AMEX,True,200.0
Amcor Limited ADS,AMCR,NASDAQ,True,10.08
Amcor plc,AMCR,NYSE,True,10.08
Amcore Financial,AMFI,NASDAQ,False,
Amdocs Ltd,DOX,NASDAQ,True,93.36
Amedisys Inc,AMED,NASDAQ,True,92.59
Amer Bio Medica Corp Wts,ABMCW,NASDAQ,False,
